,text,original_label,identifier,label,column
10,"Greece shall conduct verifications by means of administrative and on-the-spot checks. In order to ensure uniform application, the Commission shall adopt by implementing act the minimum characteristics of the checks to be carried out by Greece.",1,2010/0370(COD)_12,1,COM
11,"1. The power to adopt the delegated acts referred to in this Regulation shall be conferred on the Commission for an indeterminate period of time . 2. As soon as it adopts a delegated act, the Commission shall provide simultaneous notification thereof to the European Parliament and to the Council. 3. The power to adopt delegated acts shall be conferred on the Commission subject to the conditions laid down in Articles 23 and 24.",1,2010/0370(COD)_43,1,COM
12,"2. Member States shall communicate to the Commission on request the laws, regulations and administrative provisions which they have adopted for implementing the Union acts relating to the common agricultural policy, where those acts have a financial impact on the EAGF or the EAFRD.",0,2011/0288(COD)_384,0,COM
13,"1. The Commission shall be assisted by a Committee called ""Committee on the Agricultural Funds"". That committee shall be a committee within the meaning of Regulation (EU) No 182/2011.",1,2011/0288(COD)_848,1,COM
14,"(4) Regulation (EC) No 1007/2009 also allows, by way of exception, the placing on the market of seal products where the hunt is conducted with the sole purpose of sustainable management of marine resources. While recognizing the importance of hunts for the purpose of sustainable management of marine resources, in practice, however, these hunts may be difficult to distinguish from the large hunts conducted primarily for commercial purposes. This may lead to unjustified discrimination between the seal products concerned. Therefore, this exception should no longer be provided for . This is without prejudice to the right of Member States to continue regulating hunts conducted for the purposes of management of marine resources.",0,2015/0028(COD)_9,0,COM
15,"3. In the context of bilateral agreements referred to in paragraph 2, competent authorities of the Member States shall use IMI as much as possible. In any event, where a competent authority in one of the Member States concerned has used IMI, it shall be used for any follow-up required and shall take precedence over the mechanism(s) foreseen in such a bilateral agreement with respect to administrative cooperation and mutual assistance.",1,2012/0061(COD)_342,1,COM
16,"5. Member States where labour inspectorates have no competence with respect to the control and monitoring of the working conditions and/or terms and conditions of employment of posted workers may, by way of exception, after consulting the social partners at national level, establish or maintain arrangements guaranteeing the respect of these terms and conditions of employment, provided that the arrangements offer the persons concerned an adequate degree of protection equivalent to that resulting from Directive 96/71/EC and this Directive.",0,2012/0061(COD)_233,0,COM
17,7. The National Coordination Office is headed by a national coordinator who is a member of the Coordination group referred to in Article 11.,0,2014/0002(COD)_87,0,COM
18,"(1) The free movement of workers, freedom of establishment and freedom to provide services are fundamental principles of the internal market in the Union enshrined in the Treaty on the Functioning of the European Union (TFEU). The implementation of those principles is further developed by the Union aimed at guaranteeing a level playing field for businesses and respect for the rights of workers.",1,2016/0070(COD)_11,1,COM
19,""" 1.The Commission shall be empowered to adopt delegated acts, in accordance with Article 27a, amending Annex V to this Directive with respect to specific and relevant content and details of the information that needs to be reported by Member States provided that such acts are limited to taking into account the amendments to the STCW Convention and Code and respect the safeguards on data protection. Such delegated acts shall not change the provisions of anonymisation of data as required by Article 25a(3).""",1,2018/0162(COD)_147,1,COM
20,"1. For the year beginning 1 January 2011 and each subsequent year, Member States shall record the following details for each new light commercial vehicle registered in its territory:",1,2009/0173(COD)_87,1,COM
21,"1. Member States shall adopt and publish, by [Twelve months after the publication of the Directive] at the latest, the laws, regulations and administrative provisions necessary to comply with this Directive. They shall forthwith communicate to the Commission the text of those provisions and a correlation table between those provisions and this Directive.",1,2010/0195(COD)_46,1,COM
22,The Commission shall grant a derogation to the manufacturer where it is demonstrated that the criteria for the derogation referred to in this paragraph have been met.,1,2017/0293(COD)_288,1,COM
23,"11. Member States shall ensure that any available support for cogeneration is subject to the electricity produced originating from high- efficiency cogeneration and the waste heat being effectively used to achieve primary energy savings. They shall not differentiate between electricity consumed on site and electricity exported to the grid. Public support to cogeneration and district heating generation and networks is subject to State aid rules, where applicable.",1,2011/0172(COD)_212,1,COM
24,"1. While preparing the proposals pursuant to the tasks referred to in Article 27(1) , the ENTSO for Electricity shall conduct an extensive consultation process, at an early stage and in an open and transparent manner, involving all relevant stakeholders , and, in particular, the organisations representing all stakeholders, in accordance with the rules of procedure referred to in Article 26 . That consultation shall also involve national regulatory authorities and other national authorities, supply and generation undertakings, system users including customers, distribution system operators, including relevant industry associations, technical bodies and stakeholder platforms. It shall aim at identifying the views and proposals of all relevant parties during the decision-making process.",0,2016/0379(COD)_504,0,COM
25,"Member States shall publish any decision on a derogation in accordance with this paragraph within one year after the entry into force of this Directive.""",1,2017/0294(COD)_77,1,COM
26,"3. Decisions for reduction, withdrawal or refusal of material reception conditions or sanctions referred to in paragraphs 1, 2 and 3 2 shall be taken individually, objectively and impartially and reasons shall be given. Decisions shall be based on the particular situation of the person concerned, especially with regard to persons covered by Article 21, taking into account the principle of proportionality. Member States shall under all circumstances ensure access to health care in accordance with Article 19.",1,2008/0244(COD)_253,1,COM
27,"Article 47 Cooperation with third and associate countries 1. The Office shall be open to the participation of countries which have concluded agreements with the European Community by virtue of which they have adopted and applied Community legislation in the field covered by this Regulation. Arrangements shall be made under the relevant provisions of those agreements, specifying in particular the nature, extent and manner in which those countries areto participate in the Office's work. Such arrangements shall include provisions relating to participation in initiatives undertaken by the Office, financial contributions and staff. As regards staff matters, those agreements shall, in any event, conform to the Staff Regulations of officials of the European Communities and the Conditions of Employment of other servants of the European Communities.",1,2009/0027(COD)_280,1,COM
28,"4. Members of the Frontex Joint Support Teams shall, in the performance of their tasks and in the exercise of their powers, fully respect fundamental rights and human dignity. Any measures taken in the performance of their tasks and in the exercise of their powers shall be proportionate to the objectives pursued by such measures. While performing their tasks and exercising their powers, members of the teams shall not discriminate against persons on grounds of sex, racial or ethnic origin, religion or belief, disability, age or sexual orientation.",0,2010/0039(COD)_171,0,COM
29,"(16) Data processed in SIS or transferred through the exchange of supplementary information may provide to the enforcing Member State information that is useful for the rapid identification and re-documentation of illegally staying third-country nationals, in view of their return to a third country. In individual cases, it should be possible to share such data and information with a third country for this purpose. Sharing of any personal data should be subject to clear conditions, should be carried out in accordance with the provisions of Regulation (EU) 2016/679 and be conducted with the agreement of the Member State that issued the alert.",0,2016/0407(COD)_23,0,COM
30,"(2) The Commission committed funding to Member States' national programmes under the Asylum, Migration and Integration Fund to support the implementation of the Council Decisions (EU) 2015/1523 1 and (EU) 2015/1601 2 . Decision (EU) 2015/1601 was amended by Council Decision (EU) 2016/1754 3 . Those Decisions have now ceased to apply.",0,2018/0371(COD)_11,0,COM
31,3. The delegation of power referred to in Article 30a may be revoked at any time by the European Parliament or by the Council. A decision of revocation shall put an end to the delegation of the power specified in that decision. It shall take effect the day following the publication of the decision in the Official Journal of the European Union or at a later date specified therein. It shall not affect the validity of any delegated acts already in force.,0,2012/0062(COD)_49,0,COM
32,4. The Commission shall ensure that the inspection database makes it possible to retrieve any relevant data concerning the implementation of this Directive on the basis of the inspection data provided by Member States.,0,2016/0172(COD)_124,0,COM
33,"(18) This Directive respects the fundamental rights and observes the principles recognised in the Charter of Fundamental Rights of the European Union as enshrined in the Treaty. Specifically, it should be applied with due respect for the freedom to conduct a business (Article 16), the right to an effective remedy and to a fair trial (Article 47), the presumption of innocence and right of defence (Article 48), the principles of legality and proportionality of criminal offences and penalties (Article 49), and the right not to be tried or punished twice for the same offence (Article 50).",0,2011/0297(COD)_33,0,COM
34,3. This Regulation shall not prejudice the use of other systems of administrative cooperation established by Union law which provide for exchange of information between the Member States in specific areas.,0,2013/0119(COD)_185,0,COM
35,This Regulation provides for a dispensation from legalisation or similar formality and for a simplification of other formalities related to the acceptance of certain public documents issued by authorities of the Member States.,1,2013/0119(COD)_84,1,COM
36,"(11)Furthermore, the provision of material support for terrorism through persons engaging in or acting as intermediaries in the supply or movement of services, assets and goods, including trade transactions involving the entry into or exit from the Union should be punishable in the Member States, as aiding and abetting terrorism or as terrorism financing if performed with the knowledge that these operations or the proceeds thereof are intended to be used, in full or in part, forterrorist purposes or will benefit terrorist groups.",1,2015/0281(COD)_32,1,COM
37,"(11) In view of the specific nature of the exception, its targeted scope and the need for legal certainty for its beneficiaries, Member States should not be allowed to impose additional requirements for the application of the exception, such as compensation schemes or the prior verification of the commercial availability of accessible format copies.",1,2016/0278(COD)_26,1,COM
38,"(5) Article 19(4) is replaced by the following: ""4. Notwithstanding Article 114(2) of Regulation (EC) No 1234/2007, the production in Madeira and in the French overseas department of Reunion of UHT milk reconstituted from milk powder originating in the Community shall be authorised within the limits of local consumption requirements, insofar as this measure does not hinder that locally produced milk is collected and finds outlets. This product shall be used for local consumption only. Detailed rules for the application of this paragraph shall be adopted in accordance with the procedure referred to in Article 26(2) of this Regulation.""",0,2009/0138(COD)_22,0,COM
39,"4. Member States shall clearly define the tasks of the managing authority, the Paying Agency and, the local action groups under LEADER as regards to the application of eligibility and selection criteria and the project selection procedure.",1,2011/0282(COD)_773,1,COM
40,"Amendments 54 and 65 (14) Power should be conferred on the Commission to adopt implementing measures in respect of labelling and standard product information of the consumption of energy and other essential resources by energy-related products. Since those measures are of general scope and are designed to amend non-essential elements of this Directive by supplementing it, they shall be adopted in accordance with the regulatory procedure with scrutiny provided for in Article 5a of Decision 1999/468/EC;",1,2008/0222(COD)_24,1,COM
41,3. The Commission shall be empowered to adopt delegated acts in accordance with Article 33 to specify:,1,2012/0175(COD)_125,1,COM
42,"(44) ESMA should refrain from imposing fines or periodic penalty payments where a prior acquittal or conviction arising from identical facts, or from facts which are substantially the same, has acquired the force of res judicata as a result of criminal proceedings under national law.",0,2017/0136(COD)_81,0,COM
43,"(3) Article 3(1) of Regulation (EC) No 1/2003 obliges NCAs and national courts to apply Articles 101 and 102 TFEU to agreements or conduct capable of affecting trade between Member States. In practice, most NCAs apply national competition law provisions in parallel to Articles 101 and 102 TFEU. Therefore, this Directive, the objective of which is to ensure that NCAs have the necessary guarantees of independence and enforcement and fining powers to be able to apply Articles 101 and 102 TFEU effectively, will inevitably have an impact on national competition law provisions applied in parallel by NCAs.",1,2017/0063(COD)_12,1,COM
44,(20) The measures necessary for implementation of this Regulation should be adopted in accordance with Council Decision 1999/468/EC of 28 June 1999 laying down the procedures for the exercise of implementing powers conferred on the Commission 34 .,1,2009/0070(COD)_41,1,COM
45,1. The provisions laid down in Regulation No 1 of 15 April 1958 determining the languages to be used in the European Economic Community17 shall apply to the Agency. The Member States and the other bodies appointed by them may address the Agency and receive a reply in the European Union language of their choice.,0,2010/0275(COD)_224,0,COM
46,"9. Participants shall comply with national legislation, regulations and ethical rules in the countries where the action will be carried out. Where appropriate, participants shall seek the approval of the relevant national or local ethics committees prior to the start of the action.",0,2011/0399(COD)_270,0,COM
47,"(54)Europol processes data that require particular protection as they include EU classified information and sensitive non- classified information. Europol should therefore draw up rules on confidentiality and processing of such information, taking into account the basic principles and minimum standards laid down in Decision 2011/292/EU on the security rules for protecting EU classified information.39",1,2013/0091(COD)_91,1,COM
48,"2.The European Court of Auditors shall have the power of audit, on the basis of documents and on the spot, over all grant beneficiaries, contractors and subcontractors who have received Union funds from Europol.",1,2013/0091(COD)_951,1,COM
49,"1. At the request of the Commission, the AALA shall submit to the Commission any information necessary for the preparation of the reports referred to in Article 12.",1,2013/0233(COD)_85,1,COM
50,"(b) descriptions of procedures in accordance with which conformity assessment is carried out, ensuring the transparency and the ability of reproduction of those procedures. It shall have appropriate policies and procedures in place that distinguish between tasks it carries out as a notified body and other activities;",0,2014/0107(COD)_248,0,COM
51,"5. Activities to be funded by the Participating States through their national funding bodies without Union contribution may only be included in the PRIMA annual work plan following the positive outcome of their external independent evaluation by international peer review with regard to the objectives of PRIMA, as organised by the PRIMA-IS.",0,2016/0325(COD)_126,0,COM
52,Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 42(2).,1,2013/0063(COD)_265,1,COM
53,"(7) By Regulation (EU) 2016/1037 4 , the Council and the European Parliament adopted common rules for protection against subsidised imports from countries that are not members of the European Union. Experience has shown that the actual magnitude of subsidisation is usually discovered during the relevant investigation. In particular, it happens frequently that investigated exporters are found to benefit from subsidies whose existence could not have been reasonably known before carrying out the investigation. It is appropriate to clarify that, when such subsidies are found in the course of any given investigation or review, the Commission should offer additional consultations to the country of origin and/or export concerned with regard to such subsidies identified in the course of the investigation. In the absence of specific transitional rules regulating the matter, it is appropriate to provide for the application of this Regulation to all decisions on the initiation of proceedings, and to all proceedings, including original investigations and review investigations, initiated, on or after the date on which this Regulation enters into force.",1,2016/0351(COD)_14,1,COM
54,(15) Agreements between Member States relating to investment should not be covered by this Regulation.,0,2010/0197(COD)_17,0,COM
55,"Article 14 Confidentiality In notifying the Commission of negotiations and their outcome in accordance with Articles 8 and 11, Member States may indicate whether any of the information provided is to be considered confidential and whether it can be shared with other Member States.",0,2010/0197(COD)_50,0,COM
56,"(6) The Mechanism should include a general policy framework for Union disaster risk prevention actions aimed at achieving a high level of protection and resilience against disasters by preventing or reducing their effects and by fostering a culture of prevention. Risk management plans are essential to ensure an integrated approach to disaster management, linking risk prevention, preparedness and response actions. Therefore, the Mechanism should include a general framework for their communication and implementation.",1,2011/0461(COD)_6,1,COM
57,"Article 8 Modules 1. Member States shall work towards developing modules, in particular to meet priority intervention or support needs under the Mechanism.",1,2011/0461(COD)_98,1,COM
58,Article 12 Training of candidate volunteers and apprenticeship placements 1. The Commission shall establish a training programme in order to prepare the candidate volunteers for undertaking humanitarian activities and for deployment in humanitarian aid operations.,1,2012/0245(COD)_85,1,COM
59,"4. Without prejudice to paragraphs 1 and 2, cooperation agreements with third countries and international organisations, grant agreements, grant decisions and contracts resulting from the implementation of this Regulation shall expressly empower the Commission, the Court of Auditors and OLAF to conduct such audits, on-the-spot checks and inspections.",1,2012/0245(COD)_133,1,COM
60,"(5) In order to avoid any incompliance with Union law and enhance transparency, Member States should inform the Commission of their intent to enter into negotiations with regard to new intergovernmental agreements or amendments to existing intergovernmental agreements as soon as possible. The Commission should be kept informed regularly of the progress of the negotiations. Member States should have the possibility to invite the Commission to participate in the negotiations as an observer.",1,2016/0031(COD)_15,1,COM
61,"1. This Decision establishes a mechanism for the exchange of information between Member States and the Commission with regard to intergovernmental agreements and non-binding instruments in the field of energy as defined in Article 2, in order to optimise the functioning of the internal energy market.",1,2016/0031(COD)_37,1,COM
62,"2. The Union type-approval authority may only grant a Union type-approval in accordance with Article 5 after it has accepted the request made pursuant to paragraph 1 and after the manufacturer has agreed to cover the costs that the Union type-approval authority may incur as a result of exercising its powers and fulfilling its obligations in respect of the vehicles, systems, components and separate technical units concerned.",1,2018/0220(COD)_36,1,COM
63,"The Union type-approval authority shall also, as from the date of effect of the Union type-approval, exercise all the powers and fulfil all the obligations of the UK type-approval authority with respect to all vehicles, systems, components or separate technical units produced on the basis of the UK type-approval and already placed on the market, registered or in service in the Union. This shall not cover any liability for any acts or omissions attributable to the UK type-approval authority.",1,2018/0220(COD)_27,1,COM
64,"Article 4 Advisory procedure 1. The committee shall deliver its opinion, if necessary by taking a vote. If the committee takes a vote, the opinion shall be delivered bythe majority laid down in Article 238(1) of the Treaty. 2. The Commission shall decide on the measures to be taken, taking the utmost account of the conclusions drawn from the discussions within the committee and of the opinion delivered. It shall inform the committee of the manner in which the opinion has been taken into account.",1,2010/0051(COD)_32,1,COM
65,Recital 3 The Treaty on the Functioning of the European Union now requires the European Parliament and the Council to lay down the rules and general principles concerning mechanisms for control by Member States of the Commission's exercise of implementing powers.,1,2010/0051(COD)_4,1,COM
66,"4. Contracts, grant agreements and grant decisions resulting from the implementation of this Decision shall contain provisions expressly empowering the Commission, the EDCTP2-IS, the Court of Auditors and OLAF to conduct such audits and investigations, according to their competences.",1,2013/0243(COD)_115,1,COM
67,"(35) The Commission should adopt immediately applicable implementing acts where, in duly justified cases relating to the established rolling work programme, imperative grounds of urgency so require.",1,2014/0185(COD)_58,1,COM
68,"1. The Agency shall provide an opinion to the Commission on the draft statutes, list of members and draft rules of procedure of the ENTSO for Electricity in accordance with Article 26(2) of [OP: recast Electricity Regulation as proposed by COM(2016) 861/2] and on those of the ENTSO for Gas in accordance with Article 5(2) of Regulation (EC) No 715/2009.",1,2016/0378(COD)_63,1,COM
69,"(20) Since the objectives of this Decision cannot be sufficiently achieved by the Member States by reason of the need, in particular, for common, clear and transparent criteria and procedures for the selection and the monitoring of the European Capitals of Culture, as well as for a strong coordination between the Member States, and can therefore be better achieved at Union level, the Union may adopt measures, in accordance with the principle of subsidiarity as set out in article 5 of the Treaty on European Union. In accordance with the principle of proportionality, as set out in that article, this Decision does not go beyond what is necessary in order to achieve those objectives, HAVE ADOPTED THIS DECISION:",1,2012/0199(COD)_33,1,COM
70,Each Member State shall appoint a national coordinator responsible for organising its participation in the European Year. The coordinator shall ensure the coordination of relevant activities at national level.,1,2016/0259(COD)_64,1,COM
71,1. The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article.,1,2017/0158(COD)_197,1,COM
72,"6) The following Articles 24a, 24b and 24c are inserted: ""Article 24a Exercise of the delegation 1. The power to adopt the delegated acts referred to in Article 24 shall be conferred on the Commission for an indeterminate period of time. 2. As soon as it adopts a delegated act, the Commission shall notify it simultaneously to the European Parliament and to the Council. 3. The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in Articles 24b and 24c.",1,2009/0153(COD)_19,1,COM
73,A Union fishing vessel may not carry out fishing activities in waters of a third country under a sustainable fisheries partnership agreement unless it has been issued with a fishing authorisation:,1,2015/0289(COD)_114,1,COM
74,3. The Commission is empowered to adopt delegated acts in accordance with Article 7 concerning the amendments necessary for adapting the requirements referred to in paragraph 2 of this Article to technical progres s shall be adopted in accordance with the procedure provided for in Article 14 of Regulation (EEC) No 170/83 .,1,2016/0145(COD)_38,1,COM
75,3. The Commission shall forward that information to the ICCAT Secretariat by 15 January.,0,2016/0187(COD)_163,0,COM
76,7 . Member States shall monitor their fishing effort regime and ensure that the maximum allowable fishing effort referred to in Article 7 does not exceed the set limits.,1,2018/0050(COD)_160,1,COM
77,"(6) In Article 51, the following paragraphs are added: ""However, the Commission may delegate its powers of budget implementation concerning the operational appropriations of its own section to the Heads of Union Delegations. It shall inform thereof, at the same time, the High Representative of the Union for Foreign Affairs and Security Policy. When Heads of Union Delegations act as sub-delegated authorising officers of the Commission, they shall apply the Commission rules for the implementation of the budget and shall be submitted to the same duties, obligations and accountability as any other sub-delegated authorising officer of the Commission. The Commission shall withdraw that delegation in accordance with its own rules. For the purposes of the second paragraph, the High Representative of the Union for Foreign Affairs and Security Policy shall take the measures necessary to facilitate the cooperation between Union Delegations and Commission departments.""",1,2010/0054(COD)_41,1,EP
78,"(5a) Seven Member States are subject to a Treaty obligation to prepare for participation in the euro area, namely Bulgaria, the Czech Republic, Croatia, Hungary , Poland, Romaniaand Sweden. Some of those Member States have made little progress towards that goal in recent years, making Union support for euro participation increasingly relevant. Denmark and the United Kingdom are under no obligation to join the euro area.",0,2017/0334(COD)_21,0,EP
79,"(3a) in Article 16(2), the introductory part is replaced by the following: 2. From 2018 until and including 2021 theCommission shall provide the European Parliament and the Council with an annual monitoring report on the implementation of the Programme. That report shall include information on:",0,2017/0334(COD)_42,0,EP
80,Amendment 36 Member States shall ensure that when interviews with the suspected or accused person have been conducted by police or prosecutors with the aid of an interpreter or when there is a waiver of rights pursuant to Article 3(7) an audio and a video recording are made which shall be provided to any party in the event of a dispute.,1,2010/0801(COD)_62,1,EP
81,(i) a non-exhaustive list of data that are to be included in Electronic Health Records and that can be shared between health professionals to enable continuity of care and patient safety across borders.,1,2008/0142(COD)_14,1,EP
82,"(49) Technological developmentsin cross-border provision of healthcare through the use of ICTs may result in the exercise of supervisory responsibilities by Member States being unclear, and can thus hinder the free movement of healthcare and give rise to possible additional risks to health protection. Widely different and incompatible formats and standards are used for provision of healthcare using ICTs throughout the Union, creating both obstacles to this mode of cross-border healthcare provision and possible risks to health protection. It is therefore necessary to adopt specific measures for achieving the interoperability of information and communication technology systems in the healthcare field and for supporting patient access to e-health applications, applicable whenever Member States decide to introduce them. Those measures should specify, in particular, the necessary standards and terminologies for interoperability of relevant information and communication technology systems to ensure safe, high-quality, accessible and efficient provision of cross-border health services.",1,2008/0142(COD)_11,1,EP
83,"4a. In the event of a serious cross- border threat to health, Member States shall coordinate their messages and communication campaigns in order to deliver consistent, harmonised information.",1,2011/0421(COD)_155,1,EP
84,"Amendment 30 (Tenth part) 10. On a recommendation from the Council, the European Parliament shall, before 15 May of year N + 2, give a discharge to the Executive Director in respect of the implementation of the budget for year N.",1,2014/0256(COD)_107,1,EP
85,"Amendment 23 (14a) Article 64(1) is replaced by the following: ""1. The Executive Director shall be appointed by the Management Board, on a proposal from the Commission, for a period of five years on the basis of a list of candidates proposed by the Commission following a call for expressions of interest published in the Official Journal of the European Union and elsewhere. Before appointment, the candidate nominated by the Management Board shall be invited forthwith to make a statement to the European Parliament and to answer any questions put by its Members. His mandate may be renewed once by the Management Board, in consultation with the Commission. The Management Board may, upon a proposal from the Commission, remove the Executive Director from his post.""",1,2014/0256(COD)_83,1,EP
86,"Article 34 Controls of national inspections Amendments 186 and 176 Article 34 paragraph 1 1. The Commission shall undertake controls of the infrastructure and operation of national inspections as well as of the correct application of severity classifications in Member States. To that end, the Commission shall set up a system to monitor each Member States inspections and enforcement of this Directive on average once every three years, ensuring harmonised practices for the use and the care of animals used or intended to be used in scientific procedures.",1,2008/0211(COD)_78,1,EP
87,No changes,1,2009/0077(COD)_1,1,EP
88,"EP Am N2 'The preventive health measures referred to in point (b)(ii) may be laid down by the Commission. Those measures, designed to amend non-essential elements of this Regulation by supplementing it, shall be adopted in accordance with the regulatory procedure with scrutiny referred to in Article 24(4).",1,2009/0077(COD)_13,1,EP
89,"Greece shall conduct verifications by means of administrative and on-the-spot checks. In order to ensure uniform application, the Commission shall adopt implementing acts determining the minimum characteristics of the checks to be carried out by Greece. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 25(2).",1,2010/0370(COD)_12,1,EP
90,"1. The power to adopt delegated acts shall be conferred on the Commission subject to the conditions laid down in this Article . 2. The power to adopt delegated acts referred to in Articles 6(3), 11(2), 13(3), 14(2), 15(4) and 18(4) shall be conferred on the Commission for a period of 5 years from ...*. The Commission shall draw up a report in respect of the delegation of power not later than nine months before the end of the five-year period. The delegation of power shall be tacitly extended for periods of an identical duration, unless the European Parliament or the Council opposes such extension not later than three months before the end of each period. 3. The delegation of power referred to in Articles 6(3), 11(2), 13(3), 14(2), 15(4) and 18(4) may be revoked at any time by the European Parliament or by the Council. A decision to revoke shall put an end to the delegation of the power specified in that decision. It shall take effect the day following the publication of the decision in the Official Journal of the European Union or at a later date specified therein. It shall not affect the validity of any delegated acts already in force.",1,2010/0370(COD)_43,1,EP
91,"3. In the context of bilateral arrangements referred to in paragraph 2, competent authorities of the Member States may use IMI where possible. In any event, where a competent authority in one of the Member States concerned has used IMI, it may where possible be used for any follow-up required.",0,2012/0061(COD)_342,0,EP
92,"5. Member States where labour inspectorates have no competence with respect to the control and monitoring of the working conditions and/or terms and conditions of employment of posted workers may, by way of exception, after consulting the social partners at national level, establish, modify or maintain procedures and mechanisms guaranteeing the respect of these terms and conditions of employment, provided that they are not discriminatory or disproportionate as specified in Article 10(2) of this Directive.",0,2012/0061(COD)_233,0,EP
93,"Amendment 28 (continued) An undertaking shall not be responsible for the failure to apply or the incorrect application of such elements if the information is not, or is incorrectly, provided on the single national official website prior to the commencement of the posting. Amendment 28 (continued) In order to avoid double payment, nothing in this Article shall allow for any element of remuneration, allowances or expenses related to work outside the habitual place of work to be paid more than once to a posted worker. The worker shall be subject to the terms and conditions that are more favourable to him or her.",1,2016/0070(COD)_107,1,EP
94,"Amendment 2 (1) The free movement of workers, freedom of establishment and freedom to provide services are fundamental principles of the internal market in the Unionenshrined in the Treaty on the Functioning of the European Union (TFEU) and essential to a properly functioning internal market . The implementation and enforcement of those principles is further developed by the Union aimed at guaranteeing a level playing field for businesses, combating the circumvention of rules, respecting workers rights, improving working conditions and enhancing social cohesion among Member States .",1,2016/0070(COD)_11,1,EP
95,"1a. Member States shall assess whether it is appropriateto adapt the need for the conditions of access and detailed arrangements for the application of paternity leave to the needs of fathers in special situations that require those fathers to be more presentin national law. Such special situations may include fathers with a disability, fathers of children with a disability including a mental health condition or a serious medical condition or illness, and single fathers, as defined in national law or practice.",0,2017/0085(COD)_159,0,EP
96,"Article 13d Objections to delegated acts 1. The European Parliament or the Council may object to a delegated act within a period of two months from the date of notification. At the initiative of the European Parliament or the Council that period shall be extended by two months. 2. If, on expiry of the period referred to in paragraph 1, neither the European Parliament nor the Council has objected to the delegated act, it shall be published in the Official Journal of the European Union and shall enter into force on the date stated therein.",1,2009/0173(COD)_83,1,EP
